案類,發生日期,發生時段,發生地點
住宅竊盜,1030623,08~10,臺北市中正區廈門街91~120號
住宅竊盜,1040101,00~02,臺北市文山區萬美里萬寧街1~30號
住宅竊盜,1040101,00~02,臺北市信義區富台里忠孝東路5段295巷6弄1~30號
住宅竊盜,1040101,06~08,臺北市中山區新生北路1段91~120號
住宅竊盜,1040101,10~12,臺北市文山區明興里興隆路4段1~30號
住宅竊盜,1040102,00~02,臺北市士林區天福里1鄰忠誠路2段130巷1~30號
住宅竊盜,1040102,06~08,臺北市萬華區糖?里大理街159巷1~30號
住宅竊盜,1040102,06~08,臺北市萬華區糖?里大理街159巷1~30號
住宅竊盜,1040102,10~12,臺北市中山區吉林路121~150號
住宅竊盜,1040104,10~12,臺北市信義區五常里永吉路225巷32弄1~30號
住宅竊盜,1040104,12~14,臺北市士林區明勝里通河街31~60號
住宅竊盜,1040105,00~02,臺北市中山區南京東路3段181~210號
住宅竊盜,1040105,04~06,臺北市萬華區大理街159巷1~30號
住宅竊盜,1040105,04~06,臺北市萬華區糖?里大理街159巷1~30號
住宅竊盜,1040105,12~14,臺北市北投區吉慶里實踐街56巷1~30號
住宅竊盜,1040105,16~18,臺北市中正區忠勤里中華路2段311巷1~30號
住宅竊盜,1040105,18~20,臺北市文山區興福里12鄰景華街61~90號
住宅竊盜,1040106,04~06,臺北市信義區雅祥里基隆路1段1~30號
住宅竊盜,1040106,16~18,臺北市中正區水源里汀州路3段91~120號
住宅竊盜,1040107,16~18,臺北市文山區萬芳里萬芳路31~60號
住宅竊盜,1040108,08~10,臺北市文山區萬美里萬美街1段61~90號
住宅竊盜,1040109,10~12,臺北市內湖區港華里港華街1~30號
住宅竊盜,1040109,12~14,臺北市中山區樂群二路91~120號
住宅竊盜,1040109,16~18,臺北市松山區民權東路3段106巷1~30號
住宅竊盜,1040110,04~06,臺北市信義區福德街373巷91~120號
住宅竊盜,1040111,08~10,臺北市萬華區萬大路387巷1~30號
住宅竊盜,1040112,08~10,臺北市大安區龍雲里4鄰大安路2段132巷1~30號
住宅竊盜,1040112,18~20,臺北市松山區光復南路22巷31~60號
住宅竊盜,1040112,20~22,臺北市松山區健康路325巷18弄1~30號
住宅竊盜,1040113,10~12,臺北市萬華區青年路31~60號
住宅竊盜,1040114,08~10,臺北市松山區富錦街572巷1~30號
