編號,案類,發生日期,發生時段,發生地點
1,機車竊盜,1070101,02~04,臺北市中山區新生北路3段31 - 60號
2,機車竊盜,1070101,11~13,臺北市大安區敦化南路二段181 - 210號
3,機車竊盜,1070101,08~10,臺北市文山區辛亥路4段61 - 90號
4,機車竊盜,1070102,20~22,臺北市大安區敦化南路2段1 - 30號
5,機車竊盜,1070102,05~07,臺北市萬華區水源路181 - 210號
6,機車竊盜,1070103,23~01,臺北市士林區福林里中山北路5段271 - 300號
7,機車竊盜,1070104,02~04,臺北市中山區民族東路憲兵指揮部左邊人行道上
8,機車竊盜,1070104,23~01,臺北市中山區林森北路133巷72弄
9,機車竊盜,1070104,17~19,臺北市中正區羅斯福路三段241 - 270號
10,機車竊盜,1070104,14~16,臺北市士林區忠誠里德行東路90巷27弄1 - 30號
11,機車竊盜,1070105,20~22,臺北市中正區南海路91 - 120號
12,機車竊盜,1070105,05~07,臺北市松山區復興北路421 - 450號
13,機車竊盜,1070106,05~07,臺北市大安區仁愛路3段1 - 30號
14,機車竊盜,1070106,02~04,臺北市中正區杭州南路一段61 - 90號
15,機車竊盜,1070106,20~22,臺北市士林區福林路31 - 60號
16,機車竊盜,1070107,08~10,臺北市信義區興雅里13鄰永吉路30巷148弄1 - 30號
17,機車竊盜,1070109,02~04,臺北市中正區新生南路一段121 - 150號
18,機車竊盜,1070109,14~16,臺北市士林區名山里13鄰忠誠路路一段121 - 150號
19,機車竊盜,1070109,20~22,臺北市大同區民族西路151 - 180號
20,機車竊盜,1070110,14~16,臺北市中正區逸仙公園旁無名巷
21,機車竊盜,1070110,11~13,臺北市大同區大龍街271 - 300號
22,機車竊盜,1070110,17~19,臺北市萬華區長順街雙園平面停車場
23,機車竊盜,1070110,02~04,臺北市萬華區西寧南路1 - 30號
24,機車竊盜,1070110,02~04,臺北市萬華區西寧南路50巷
25,機車竊盜,1070110,08~10,臺北市松山區民生東路5段69巷1弄1 - 30號
26,機車竊盜,1070111,05~07,臺北市中正區公園路上
27,機車竊盜,1070111,05~07,臺北市士林區德行東路229巷內近士東路口
28,機車竊盜,1070111,23~01,臺北市萬華區西寧南路211 - 240號
29,機車竊盜,1070113,05~07,臺北市羅斯福路六段與景華街口
30,機車竊盜,1070113,17~19,臺北市士林區三玉里10鄰忠誠路91 - 120號
31,機車竊盜,1070113,23~01,臺北市萬華區中華路二段661 - 690號
32,機車竊盜,1070113,11~13,臺北市萬華區全德里德昌街1 - 30號
33,機車竊盜,1070113,20~22,臺北市萬華區中華路二段300巷13弄1 - 30號
34,機車竊盜,1070113,17~19,臺北市萬華區萬大路與西藏路口
35,機車竊盜,1070115,17~19,臺北市中山區民權東路2段31 - 60號
36,機車竊盜,1070115,23~01,臺北市文山區興隆路三段255巷1 - 30號
37,機車竊盜,1070115,05~07,臺北市內湖區康樂街136巷29弄31 - 60號
38,機車竊盜,1070117,20~22,臺北市萬華區萬大路路541 - 570號
39,機車竊盜,1070118,17~19,臺北市大同區老師里6鄰迪化街二段271 - 300號
40,機車竊盜,1070118,17~19,臺北市大同區歸綏街91 - 120號
41,機車竊盜,1070119,11~13,臺北市文山區興豐里16鄰景豐街48巷1 - 30號
42,機車竊盜,1070120,17~19,臺北市北投區光明路211 - 240號
43,機車竊盜,1070120,23~01,臺北市信義區吳興街一帶
44,機車竊盜,1070121,11~13,臺北市南港區重陽路1 - 30號
45,機車竊盜,1070121,20~22,臺北市大同區重慶北路2段31 - 60號
46,機車竊盜,1070122,11~13,臺北市文山區景文街151 - 180號
47,機車竊盜,1070122,17~19,臺北市萬華區水源路181 - 210號
48,機車竊盜,1070122,08~10,臺北市萬華區昆明街271 - 300號
49,機車竊盜,1070124,11~13,臺北市中山區敬業一路181 - 210號
50,機車竊盜,1070125,02~04,臺北市信義區永吉路30巷119弄1 - 30號
51,機車竊盜,1070125,14~16,臺北市信義區基隆路1段331 - 360號
52,機車竊盜,1070125,11~13,臺北市松山區敦化北路199巷1 - 30號
53,機車竊盜,1070126,17~19,臺北市中山區長安西路40巷10弄1 - 30號
54,機車竊盜,1070126,17~19,臺北市大安區通化街123巷31 - 60號
55,機車竊盜,1070126,08~10,臺北市中正區中山南路與徐州路口旁的機車停車格
56,機車竊盜,1070128,08~10,臺北市中山區建國北路2段3巷1 - 30號
57,機車竊盜,1070130,08~10,臺北市萬華區西藏路125巷31 - 60號
58,機車竊盜,1070131,02~04,臺北市中山區長安西路19巷2弄
59,機車竊盜,1070131,02~04,臺北市萬華區桂林路與康定路
60,機車竊盜,1070201,17~19,臺北市北投區石牌路1段1 - 30號
61,機車竊盜,1070201,14~16,臺北市信義區永吉路443巷13弄1 - 30號
62,機車竊盜,1070201,02~04,臺北市大安區羅斯福路四段一號
63,機車竊盜,1070202,20~22,臺北市中山區中山北路一段33巷
64,機車竊盜,1070202,11~13,臺北市中山區林森北路271 - 300號
